instance obj time nodes cuts rlx time gap
00-A-test_n4 1500.0 0.006873369216918945 0 0 1500.0 0.008914947509765625 0.0
00-A-test_n5 1750.0 0.0 0 0 1750.0 0.011896848678588867 0.0
00-A-test_n6 1812.5 0.0 0 0 1812.5 0.015783071517944336 0.0
00-A-test_n7 1937.5 0.09944534301757812 19 0 1935.7232441471574 0.021467208862304688 0.09170352788865022
00-A-test_n8 2124.999999999999 0.1895732879638672 4063 0 2096.8022206174396 0.03165292739868164 1.3269543238851522
00-A-test_n9 2328.125 0.5680389404296875 16201 0 2291.530429263734 0.06293749809265137 1.5718473336382788
01-Primates12_n10 0.12203927656250001 0.3476426601409912 250 0 0.11985381150344494 0.05303835868835449 1.790788277850714
01-Primates12_n11 0.1625166890625007 0.7251296043395996 3375 0 0.159274423650287 0.06351065635681152 1.995035359701914
02-M17_n10 0.10266960375 0.5368602275848389 3210 0 0.10219023516042147 0.06492733955383301 0.46690410021041173
02-M17_n11 0.127555206875 0.7361476421356201 1161 0 0.12659910352720877 0.06747865676879883 0.7495604226710845
03-M18_n10 0.185870190625 0.2477552890777588 49 0 0.18476249987824758 0.03625965118408203 0.5959485719725826
03-M18_n11 0.1938194203125 0.5513920783996582 946 0 0.1914934825267449 0.06380319595336914 1.2000540410269163
04-SeedPlant500_n10 0.08931403296875 0.33335113525390625 116 0 0.0874790705285017 0.04571247100830078 2.0545063068536216
04-SeedPlant500_n11 0.10070804234375005 0.5403399467468262 495 0 0.09844488775661595 0.05647540092468262 2.247243154036506
05-M43_n10 0.102558558125 0.30085158348083496 148 0 0.10200335815026838 0.047217607498168945 0.5413492397727886
05-M43_n11 0.10218857112500002 0.5867877006530762 762 0 0.1002244705746224 0.06329631805419922 1.9220354377742206
06-M62_n10 0.160035371875 0.3780839443206787 816 0 0.15845451714915834 0.047434329986572266 0.9878158230396884
06-M62_n11 0.17110586249999998 1.3590037822723389 7110 0 0.16872286222292576 0.14457392692565918 1.3927052190127156
07-RbcL55_n10 0.14890873718749997 0.49411463737487793 684 0 0.1476547240643419 0.05997896194458008 0.8421353554150834
07-RbcL55_n11 0.16047104398437498 0.7133879661560059 1397 0 0.15929141399265642 0.1268634796142578 0.7351045786387582
08-Rana64_n10 0.04025720484375003 0.6186971664428711 691 0 0.03810799807238544 0.07974743843078613 5.338688514779628
08-Rana64_n11 0.04255958343750003 6.110845327377319 69298 0 0.04050276095412237 0.12702107429504395 4.832806896237977
09-M82_n10 0.051924106875 0.5645120143890381 3313 0 0.0508583094717688 0.07941484451293945 2.0526061349441336
09-M82_n11 0.051974342500000006 8.996241807937622 129582 0 0.050691729877796216 0.10638999938964844 2.4677803710624926
